State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
Utah,2023,1.25,42.16,72.4,13.88,117.8,2.42,35.28,39.55,7.69,36,10.15,7.26,53.32,439.2,,14.03,152.3,662.7,110.4,240.3,52.75,184.2,310.4,31.91,123.3,63.54,24.25,180.9,2151,,11.26,3.61,9.15,7.95,2.04,21.83,5.22,7.85,4.83,3.43,6.26,3.34,3.39,4.9,,29.3,8.5,16.3,,79.72,49.77,62823,
Vermont,2021,0.87,38.39,65.85,13.87,107.3,2.2,30.58,33.72,7.81,21.02,6.9,6.07,59.19,393.8,,11.22,184,797.5,111.7,277.4,67.54,207.9,377.4,41.37,82.6,49.45,21.87,247.1,2477,,12.91,4.79,12.11,8.05,2.59,30.71,6.8,11.19,4.13,3.93,7.17,3.61,4.18,6.29,,27.0,8.8,18.4,175.7,79.83,52,61202,14.8
Vermont,2022,0.86,36.32,63.3,13.52,105.9,1.98,30.55,33.65,7.03,23.53,6.93,5.52,59.07,388.1,,11.12,188.2,831.6,118.7,278.2,64.2,215.6,388.5,38.47,92.44,49.7,22.28,261.5,2560,,12.91,5.18,13.14,8.78,2.63,32.36,7.06,11.55,4.36,3.93,7.17,4.04,4.43,6.6,,27.1,7.3,19.3,165.1,79.67,53.84,63035,13
Vermont,2023,0.85,37.62,64.6,13.7,108.4,2.11,30.59,34.6,7.49,24.6,6.94,6.11,59.78,397.4,,11.62,199.9,869.9,123.9,291.9,69.86,225.2,411.1,41.74,102.2,52.64,24.51,272.9,2697,,13.65,5.31,13.47,9.05,2.69,33.04,7.36,11.88,4.35,4.15,7.59,4.01,4.56,6.79,,26.3,6.7,17.1,,79.67,55.37,66463,
Virginia,2021,1.38,42.71,73.26,16.12,102.8,2.97,44.96,45.47,10.78,33.45,10.98,9.49,65.36,459.7,,15.56,173.1,750.4,120.3,221.1,73.55,205.9,410.9,38.62,114.6,68.59,28.1,215.9,2437,,11.25,4.05,10.24,7.46,2.15,24.8,4.58,9.04,4.05,3.42,6.25,2.96,3.3,5.3,,30.5,10.7,22.2,167.2,79.55,51.03,66838,12.4
Virginia,2022,1.34,41.43,72.21,16.13,100.6,2.72,44.51,46.09,9.59,36.71,10.81,8.89,64.99,456,,15.6,183,808.8,128.2,238.3,72.29,219.6,437.4,40.21,129.7,69.71,28.97,230,2602,,11.6,4.42,11.2,7.95,2.37,26.6,4.93,9.49,4.28,3.53,6.45,3.26,3.54,5.71,,31.8,9.8,24.8,159.2,79.07,52.02,69021,12.1
Virginia,2023,1.34,42.79,73.49,16.34,102.5,2.89,44.63,47.3,10.3,38.59,10.88,9.83,65.49,466.3,,16.09,194,844.3,133.4,248.9,78.53,226.4,462.1,43.69,141.5,72.89,31.75,239.1,2733,,12.05,4.53,11.49,8.16,2.43,27.17,5.07,9.77,4.28,3.67,6.7,3.23,3.65,5.86,,32.4,9.8,20.4,,79.07,53.34,72855,
Washington,2021,1.12,34.98,60.01,12.46,93,2.19,30.74,33.51,5.75,27.09,8.89,4.92,54.07,368.7,,12.73,143.6,622.4,101,211.8,54.73,200.1,305.8,28.88,93.72,56.11,19.36,206.7,2057,,11.37,4.11,10.37,8.11,2.28,25.04,6.51,9.13,3.88,3.46,6.31,3.93,3.82,5.58,,28.6,9.3,16.4,147.7,80.42,49.44,74181,10.8
Washington,2022,1.05,33.54,58.45,12.21,91.32,1.98,29.99,33.64,5.2,28.67,8.44,4.54,52.42,361.4,,13.26,145.5,642.8,105,222.4,52.81,205.5,319.5,27.33,110.3,59.27,19.92,219.4,2143,,12.64,4.34,11,8.6,2.44,26.62,6.85,9.5,4.43,3.85,7.02,4.39,4.18,5.93,,28.2,8.5,18.9,142.7,80.21,50.63,75345,10
Washington,2023,1.05,34.69,59.57,12.42,92.91,2.13,30.12,34.79,5.59,30.25,8.53,5.08,53.58,370.7,,13.67,154.2,671.1,108.9,232.6,57.36,214.8,337.6,29.53,120.2,61.91,21.88,228.9,2253,,13.05,4.45,11.27,8.77,2.5,26.99,7.13,9.7,4.48,3.97,7.26,4.31,4.27,6.08,,28.0,7.8,17.5,,80.21,51.32,79659,
West Virginia,2021,1.41,44.11,75.66,17.83,127,2.64,37.44,40.47,10.57,34.17,11.21,10.24,73.06,485.8,,14.20,164.90,714.60,121.10,207.80,65.24,138.10,364.50,34.33,104.50,62.58,26.54,175.70,2194.00,,10.05,3.74,9.45,6.79,1.64,24.72,3.69,9.01,3.7,3.06,5.58,2.59,2.4,4.52,,37.8,15.1,28,223,74.79,33.3,49079,22
